mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
248,2,1021,13223118,59.3971246,24.6670715,-71,1557037639999,3.0,0.006559693,317.0,HSPA+,,59,,,,,
248,2,1021,13229793,59.3971228,24.6670724,-55,1557037645999,3.0,0.9228242,317.0,HSPA+,,163,,,,,
248,2,1021,13229793,59.3971116,24.6670723,-63,1557037651999,3.0,0.03982706,317.0,HSPA+,,163,,,,,
248,2,1021,13229793,59.3970875,24.6670992,-59,1557037656999,3.0,0.34260434,69.0,HSPA+,,163,,,,,
248,2,1021,13223118,59.3968338,24.6671333,-59,1557037662999,3.2,3.4656851,167.0,HSPA+,,59,,,,,
248,2,1021,13223118,59.3965777,24.6672023,-67,1557037668999,3.0,3.6466322,173.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3964638,24.6673472,-71,1557037673999,3.0,3.34216,87.0,HSUPA,,59,,,,,
248,2,1021,13224259,59.3964978,24.667774,-75,1557037679999,3.0,3.4360816,71.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3965654,24.6681286,-73,1557037684999,4.8,3.464942,74.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3966838,24.668474,-61,1557037690999,3.2,3.2419393,18.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3967796,24.6686549,-63,1557037695999,3.0,3.295556,82.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968533,24.6691134,-67,1557037701999,3.0,3.5415618,38.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3969819,24.6693914,-61,1557037707999,3.0,3.466348,60.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3970417,24.6697001,-53,1557037712999,3.0,3.5261433,71.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.397082,24.6700846,-55,1557037717999,3.0,3.7227418,73.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3971209,24.6704927,-65,1557037723999,3.0,3.8943205,83.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3971846,24.671028,-55,1557037729999,3.0,4.076223,86.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3971492,24.671377,-71,1557037735999,3.0,3.9090407,117.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3971536,24.671609,-73,1557037741999,3.0,3.2984076,53.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3972576,24.6717027,-61,1557037746999,3.0,2.9678283,2.0,HSPA+,,51,,,,,
248,2,1021,13224259,59.3973812,24.6716722,-71,1557037751999,3.0,2.9214466,350.0,HSPA+,,51,,,,,
248,2,1021,13224258,59.3975105,24.6716093,-69,1557037756999,3.0,2.8251252,355.0,HSPA+,,51,,,,,
248,2,1021,13224259,59.397685,24.671505,-73,1557037762999,3.0,2.902899,308.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3977658,24.6713549,-71,1557037767999,3.0,2.7380152,300.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3978458,24.6711999,-71,1557037772999,3.0,2.6211815,320.0,HSUPA,,59,,,,,
248,2,1021,13224259,59.3979344,24.6710521,-65,1557037777999,3.0,2.484439,314.0,HSUPA,,59,,,,,
248,2,1021,13224259,59.3980364,24.6709126,-65,1557037783999,3.0,2.3251572,2.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.398211,24.670899,-57,1557037789999,3.0,2.7858515,3.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3983212,24.6707425,-63,1557037794999,3.0,3.0282195,239.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3982889,24.6704048,-55,1557037799999,3.0,2.9505591,264.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3983009,24.6702679,-63,1557037804999,3.0,2.3745587,342.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3984102,24.6702588,-55,1557037809999,3.0,2.5440671,352.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3985842,24.6701671,-59,1557037815999,3.0,2.8169746,343.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3987178,24.6701903,-59,1557037821999,3.0,2.304163,348.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3988977,24.6700952,-51,1557037827999,4.2,2.558919,354.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3991129,24.6699569,-51,1557037832999,4.1,2.8736548,347.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3992901,24.6698489,-51,1557037837999,3.0,2.984391,349.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3994625,24.6697296,-51,1557037843999,3.0,2.9798164,279.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3994986,24.6693466,-59,1557037850000,3.4,3.2063012,230.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3993318,24.6692357,-57,1557037856000,3.0,3.2188966,189.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3991688,24.6692107,-55,1557037861000,3.0,3.1538904,184.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3990237,24.6691296,-51,1557037866000,3.0,3.2861733,220.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.398922,24.6689325,-51,1557037871000,3.0,3.2447593,239.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3988316,24.6686648,-51,1557037877000,3.0,3.1717014,203.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3986285,24.6685931,-55,1557037883000,3.0,3.3517444,171.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3984448,24.6685866,-55,1557037888000,3.0,3.4933088,189.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3982174,24.6685781,-55,1557037894000,3.1,3.476276,181.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3980395,24.668453,-51,1557037900000,3.0,3.3870015,251.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3979957,24.6681143,-51,1557037906000,3.0,3.363355,241.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.397939,24.6676986,-61,1557037912000,3.0,3.665646,264.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3979031,24.6673511,-63,1557037917000,3.0,3.876132,253.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3978542,24.6670034,-61,1557037922000,3.0,3.8812635,249.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3977727,24.6666221,-59,1557037928000,3.0,3.8496156,226.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3976407,24.6664993,-59,1557037933000,3.0,3.6410384,200.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3974844,24.6663599,-67,1557037938000,3.0,3.573058,207.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3973162,24.6661496,-61,1557037944000,3.0,3.566158,208.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3971736,24.6659839,-73,1557037949000,3.0,3.549367,189.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3970338,24.6659293,-65,1557037954000,3.0,3.373395,160.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968525,24.666097,-63,1557037960000,3.0,3.4244363,130.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3967957,24.6664814,-65,1557037966000,3.0,3.3922946,99.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3967978,24.6667995,-63,1557037971000,3.0,3.3340166,92.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968142,24.667117,-59,1557037977000,3.0,3.0375335,85.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968205,24.667218,-57,1557037983000,3.0,0.028850656,84.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968211,24.667221,-57,1557037989000,3.0,0.022981478,84.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968216,24.6672223,-59,1557037994000,3.0,0.056919828,84.0,HSPA+,,59,,,,,
248,2,1021,13224259,59.3968224,24.6672222,-61,1557038000000,3.0,0.018421778,84.0,HSPA+,,59,,,,,
